"HCMU00001.003/D","D","<N><E><X>10.835297724069841</X><Y>106.66463990032798</Y></E><E><X>10.835545322571848</X><Y>106.66461049846839</Y></E></N>"
"HCMU00001.013/D","D","<N><E><X>10.834536182154537</X><Y>106.66715281147242</Y></E><E><X>10.834450773789985</X><Y>106.66744819920406</Y></E></N>"
"HCMU00001.014/D","D","<N><E><X>10.834445834295492</X><Y>106.66745289306984</Y></E><E><X>10.834333731292695</X><Y>106.66774305027218</Y></E></N>"
"HCMU00001.015/D","D","<N><E><X>10.834333731292695</X><Y>106.66774975579472</Y></E><E><X>10.83415985578238</X><Y>106.66818651203198</Y></E></N>"
"HCMU00001.016/D","D","<N><E><X>10.834158538582578</X><Y>106.66819221172614</Y></E><E><X>10.83397748307103</X><Y>106.66865979179431</Y></E></N>"
"HCMU00001.017/D","D","<N><E><X>10.833978141671338</X><Y>106.66866649731685</Y></E><E><X>10.833785540843877</X><Y>106.66919662831116</Y></E></N>"
"HCMU00001.018/D","D","<N><E><X>10.833785211543518</X><Y>106.66920333383369</Y></E><E><X>10.833691025821093</X><Y>106.66948119125242</Y></E></N>"
"HCMU00001.019/D","D","<N><E><X>10.833687633775543</X><Y>106.66948828011155</Y></E><E><X>10.833438320977871</X><Y>106.67018195060302</Y></E></N>"
"HCMU00001.037/D","D","<N><E><X>10.830879288627019</X><Y>106.6774290170622</Y></E><E><X>10.830873392507488</X><Y>106.67744951179634</Y></E><E><X>10.830517775856759</X><Y>106.67770537024649</Y></E></N>"
"HCMU00001.044/D","D","<N><E><X>10.831082835942711</X><Y>106.67750295366147</Y></E><E><X>10.830998434381053</X><Y>106.67756500180155</Y></E><E><X>10.830961452485552</X><Y>106.6776806940859</Y></E><E><X>10.830849734363245</X><Y>106.67793240714595</Y></E></N>"
"HCMU00001.045/D","D","<N><E><X>10.830849734363245</X><Y>106.67793911266848</Y></E><E><X>10.83082086518685</X><Y>106.6779458619122</Y></E><E><X>10.830617464817479</X><Y>106.67849374660966</Y></E></N>"
"HCMU00001.050/D","D","<N><E><X>10.83494753060777</X><Y>106.66640411322066</Y></E><E><X>10.834687709031307</X><Y>106.66713628939968</Y></E></N>"
"HCMU00001.051/D","D","<N><E><X>10.83468803833067</X><Y>106.66714299492222</Y></E><E><X>10.834293869293166</X><Y>106.66824219424097</Y></E></N>"
"HCMU00001.052/D","D","<N><E><X>10.834157879982676</X><Y>106.66819221172614</Y></E><E><X>10.834293869293166</X><Y>106.66824219424097</Y></E></N>"
"HCMU00001.063/D","D","<N><E><X>10.831466733708021</X><Y>106.67616714905648</Y></E><E><X>10.831469798973448</X><Y>106.67610068073236</Y></E><E><X>10.831359584015493</X><Y>106.67604494126613</Y></E></N>"
"HCMU00001.065/D","D","<N><E><X>10.833978141671338</X><Y>106.66866649731685</Y></E><E><X>10.83399733077727</X><Y>106.66869691692797</Y></E><E><X>10.833979817634335</X><Y>106.66873922542983</Y></E></N>"
